round/node,0,1,2,3,4,5,6,7,num_shards,changes,divides
0,1578561,114447,66434,48190,36718,30251,25758,22135,8,,
5,9025986,652836,381955,268821,209862,171763,144837,126116,8,,
10,8950189,645137,380667,267794,207602,170627,144305,123783,8,,
15,8411933,648088,395392,287994,230999,195760,169152,151679,5266,4456,1
20,5001958,562000,396837,328992,286996,266466,249628,236574,5266,,
25,4859913,548742,382913,318583,282154,255823,244336,231745,5266,,
30,1058280,899356,897950,906432,903602,899823,1292234,471407,5267,150,1
35,1037002,887441,885440,887784,886649,881971,1017669,710638,5267,,
40,1052487,902025,901098,903263,897883,901532,1036271,721784,5267,,
45,972594,919937,919290,915130,920968,922241,962644,843111,5457,32,11
50,968887,921909,927696,921384,923348,918965,970374,859610,5457,,
55,955915,907875,910659,902509,906217,903866,952817,844414,5457,,
60,941785,903069,917754,908736,910709,908155,927331,881274,5457,10,0
65,970422,944795,940577,941580,936468,936956,956164,911010,5457,,
70,944343,916693,923038,915949,921901,920282,938607,894606,5457,,
75,934585,914908,923419,914452,919127,918947,930763,909754,5457,4,0
80,940487,925229,929083,927251,926312,929193,934920,921691,5457,,
85,938855,926679,922934,921375,922303,921120,931141,914937,5457,,
90,927404,915441,918850,918601,919361,914829,926561,906413,5457,2,0
95,933455,921185,924257,923695,918828,916536,934711,913968,5457,,
100,924435,906876,918517,917603,913476,914215,924866,905472,5457,,
105,917045,917145,912466,914391,914185,909053,920084,916859,5457,2,0
110,920069,919101,918269,921487,915725,911459,915445,914031,5457,,
115,943849,938651,937780,938392,937586,937683,941831,942412,5457,,
120,933730,931831,924387,929467,929467,926796,929924,924434,5457,0,0
125,922922,924255,924390,920246,919934,913774,925429,920206,5457,,
130,943361,937321,936942,940984,936629,936943,942200,935612,5457,,
135,922840,927520,921892,918934,920887,922970,922854,919364,5457,0,0
140,904554,903831,902730,899813,898063,903823,901061,905295,5457,,
145,926480,924291,922195,922255,924059,922679,924138,921239,5457,,
150,917189,919978,916203,916655,912231,908159,916626,912245,5457,0,0
