round/node,0,1,2,3,4,5,6,7,num_shards,changes,divides
0,1594143,115532,67064,48758,37047,30516,25963,22328,8,,
5,8961488,648260,379231,266767,208353,170556,143796,125264,8,,
10,8955513,645612,380862,267981,207704,170810,144493,123874,8,,
15,1091467,96836,57927,16055,15606,49883,37766,1344838,605,303,99
20,6056500,542896,316719,89318,90762,274476,211223,1578801,605,,
25,5999154,539038,314281,90210,89763,275337,209904,1566904,605,,
30,768761,61954,64345,336733,585078,343115,549735,1110306,1115,736,72
35,4362737,351434,370444,450729,937963,446277,561994,1091256,1115,,
40,4351000,347396,371170,453652,943502,444802,565055,1089752,1115,,
45,594751,28609,50402,849943,580401,722413,747970,1078536,1435,918,95
50,3296440,154894,284385,985485,827318,864748,807086,1093706,1435,,
55,3317739,155078,284760,995279,836298,870089,810275,1099994,1435,,
60,1775322,329813,851736,628055,747629,847848,763652,1033117,1650,396,67
65,1969374,568788,1052669,973338,902164,855783,774534,1028620,1650,,
70,1985287,571809,1058407,979479,906714,861840,785049,1033726,1650,,
75,303435,820704,944472,792778,800588,929057,894668,1026409,1763,396,44
80,1684782,821047,964083,823209,813124,985354,904751,1030245,1763,,
85,1698729,826923,969999,830300,819923,990723,911175,1032258,1763,,
90,1556586,924890,755203,749562,833617,945092,936120,993116,1855,200,25
95,1560042,935901,817873,793285,958190,968945,947213,994943,1855,,
100,1567111,935032,821562,799621,964638,972441,951056,999876,1855,,
105,1409667,628992,575873,889446,874744,948954,947361,987106,2007,340,59
110,1409525,634742,854302,1002759,1011508,1022311,967897,988227,2007,,
115,1408468,631327,850182,1001172,1016581,1019922,969652,994973,2007,,
120,1384674,620658,955780,960215,939897,961881,950518,968095,2027,73,14
125,1411351,629466,974548,983093,956222,974177,971858,984408,2027,,
130,1406708,630121,973998,984346,952067,979805,963067,980693,2027,,
135,1379740,626325,954521,935169,944098,951039,966214,969925,2083,66,27
140,1405730,635099,969555,956518,966327,995028,981916,991191,2083,,
145,1414435,638657,977218,964009,962044,996872,986986,992995,2083,,
150,415839,802530,969051,954371,959386,974874,977066,985626,2089,35,5
155,1229197,796165,973008,942636,962915,985211,980954,981721,2089,,
160,1210046,780659,944855,929087,940326,956243,955283,955646,2089,,
165,1203793,780146,869545,910229,943745,957280,952596,958887,2109,57,12
170,1226926,793987,950276,943953,969586,972555,970252,975079,2109,,
175,1226012,794162,946618,946715,968488,975104,973406,973117,2109,,
180,1231399,795368,941636,955415,981644,985245,983974,983547,2109,23,0
185,1205675,781437,918193,935908,967607,964640,962061,961100,2109,,
190,1226077,794920,932602,945219,979551,974055,972447,979162,2109,,
195,1239383,800366,940200,951155,978770,983630,978000,977721,2112,9,3
200,1218035,785032,924348,936701,961512,963179,954624,962876,2112,,
205,1236526,800523,940474,951372,983291,980319,980042,981290,2112,,
210,1230177,791847,932725,945753,977645,969980,976707,974993,2121,16,6
215,1234248,799563,948259,955547,987213,984656,988203,979950,2121,,
220,1235067,797287,939409,949636,978553,977896,981076,977842,2121,,
225,1212302,784627,883041,947805,960767,964897,962757,963269,2127,14,3
230,1231278,796726,925639,972832,982815,979247,983530,984086,2127,,
235,1218051,786536,921496,955797,973644,968208,972101,974923,2127,,
240,1221566,796471,913711,961183,975393,977154,972197,973412,2129,23,2
245,1211046,781633,912416,955506,967465,965567,969143,961468,2129,,
250,1230724,790339,920129,961138,974161,971300,970993,970905,2129,,
255,1228734,800199,925516,964215,972639,979036,977355,975731,2139,38,6
260,1233794,803562,924502,966957,984449,981216,980790,980385,2139,,
265,1243850,799318,935161,968610,987922,986786,986267,984396,2139,,
270,1217650,788614,916139,955400,973457,970958,970994,969466,2139,8,0
275,1234279,800594,923204,967645,976154,978393,985033,981708,2139,,
280,1237465,802504,923513,966066,976780,980514,989098,983926,2139,,
285,1223574,789698,912691,956352,965182,971798,968007,973237,2141,19,1
290,1236620,805872,936732,976573,991353,991439,992696,993276,2141,,
295,1245085,804111,929160,977298,992492,992301,980782,993876,2141,16,1
